mukey,muname,compname,comppct_r,drainagecl,hzdept_r,hzdepb_r,om_r,ph1to1h2o_r,awc_r,claytotal_r,sandtotal_r,silttotal_r,dbthirdbar_r,cec7_r,field_id
1547903,"Kimberson gravelly loam, 0 to 3 percent slopes",Kimberson,85,Well drained,0.0,13.0,2.9,7.8,0.14,18.6,44.2,37.2,1.4,17.7,NM_FIELD_001
2441669,"Acuff very fine sandy loam, 1 to 3 percent slopes",Acuff,85,Well drained,0.0,26.0,2.1,7.2,0.12,16.1,68.0,15.9,1.5,14.0,NM_FIELD_001
2520116,"Zita very fine sandy loam, 1 to 3 percent slopes",Zita,85,Well drained,0.0,14.0,2.0,8.1,0.12,16.1,68.0,15.9,1.5,13.2,NM_FIELD_001
1547903,"Kimberson gravelly loam, 0 to 3 percent slopes",Kimberson,85,Well drained,13.0,28.0,3.3,8.0,0.13,24.6,44.7,30.7,1.38,14.3,NM_FIELD_001
2520116,"Zita very fine sandy loam, 1 to 3 percent slopes",Zita,85,Well drained,14.0,41.0,1.2,8.3,0.13,22.0,59.0,19.0,1.47,13.3,NM_FIELD_001
2441669,"Acuff very fine sandy loam, 1 to 3 percent slopes",Acuff,85,Well drained,26.0,103.0,1.0,8.2,0.16,27.6,48.9,23.5,1.45,22.2,NM_FIELD_001
1547903,"Kimberson gravelly loam, 0 to 3 percent slopes",Kimberson,85,Well drained,28.0,203.0,,,,,,,,,NM_FIELD_001
2200321,"Berda-Potter complex, 3 to 12 percent slopes",Berda,55,Well drained,0.0,18.0,0.9,8.1,0.14,20.8,50.2,29.0,1.52,16.3,NM_FIELD_001
2200321,"Berda-Potter complex, 3 to 12 percent slopes",Berda,55,Well drained,18.0,56.0,0.45,8.2,0.14,21.3,49.8,28.9,1.53,15.0,NM_FIELD_001
2200321,"Berda-Potter complex, 3 to 12 percent slopes",Potter,30,Well drained,0.0,15.0,3.9,8.1,0.15,22.3,45.2,32.5,1.48,19.8,NM_FIELD_001
2200321,"Berda-Potter complex, 3 to 12 percent slopes",Potter,30,Well drained,15.0,38.0,0.66,8.3,0.13,18.2,54.6,27.2,1.53,7.3,NM_FIELD_001
2200321,"Berda-Potter complex, 3 to 12 percent slopes",Mobeetie,8,Well drained,0.0,21.0,0.75,8.2,0.13,10.0,70.0,20.0,1.43,8.0,NM_FIELD_001
2200321,"Berda-Potter complex, 3 to 12 percent slopes",Mobeetie,8,Well drained,21.0,63.0,0.4,8.2,0.11,12.0,68.0,20.0,1.43,8.6,NM_FIELD_001
2200321,"Berda-Potter complex, 3 to 12 percent slopes",Veal,7,Well drained,0.0,8.0,1.0,7.8,0.13,15.6,65.4,19.0,1.2,10.3,NM_FIELD_001
